seeds: 862276159 59873817 391478845 36137774 641675771 86153966 696096725 21709689 670927817 81808951 493687808 66597212 883574476 64706342 632887479 46725929 767446164 36216520 241650700 97678887 722666148 61543458 147118730 85266915 309888610 87914308 691943189 96084141 935509174 56025925 196835156 43204494 622742136 27206026 936397542 46326727 272496057 37674565 752818519 96752694 440297520 49442079 114641442 84841354 344981649 61915776 375937613 36015014 692223471 60891331 288698467 94215697 434486800 61710234 350595579 42228515 471529365 68191319 855259149 23720158 302085645 12008066 327576907 82123527 688011178 89878091 320791040 62201815 773455302 72212818 908084030 25441103 198197406 94937985 683451073 96968073 808340872 75168221 894007198 43494312 778241036 52874956 249241893 36373328 224667795 53702296 226650564 88223109 293593300 22542468 224928492 14102983 726591346 19326521 504128211 79707412 164887716 48467276 425928134 39098866 285506666 79460117 711784491 11987214 125667760 87462458 949243278 18824032 533247669 28350761 706665018 39107833 887631372 33628560 196746554 56194307 256901323 12814290 311302128 98526846 821607133 81774060 632164747 72154207 769282782 44397247 784363913 69432460 212102261 24220516 529175165 49687079 711981049 73544941 947813679 12028497 204188642 35214024 313070374 80113264 545286800 11574355 234649847 96749234 498442306 35534094 252738125 84261311 939681167 57286323 486518983 12745789 331638180 11056616 508608441 12645545 898519517 87181138 558933029 65287374 578795919 47623876 128430142 68793450 138946858 50657261 167047142 97253016 606889557 64154951 177743043 61059583 345391671 74892984 727505811 69308431 898299916 92788786 603263562 95422493 169166227 86609835 261015790 61465847 383252324 18592885 596043048 39522282 317610218 45084768 628331041 31871652 741612832 43693595 605734229 68227643 882856680 39371294 755523136 50411531 917892404 33240468 173339363 98208212 114025182 78665341 193607763 98721825 519288394 24191990 439089466 47162241 646013667 47090998 515654635 12090260 255425897 84042476 299954921 30622006 542196418 49109015 897353144 65574825 216505235 32748581 110438463 59489600 646922963 58319860 200950018 76783411 652462975 70725720 175610934 86084773 814899254 92926131 824857083 96339299 818917465 28128173 658434883 39319188 891997137 67004615 189314643 98327849 774539044 50255671 231407777 95250333 851343272 87039867 550778046 15394157

seed-to-soil map:
272477411 104326245 3251680
433031954 148770385 4669563
605070578 593120521 3067139
549961348 487830075 1212140
342143396 923567618 2544411
591831113 571573135 4435596
341449434 683541044 1155343
965286650 362119763 3738953
707569757 950897894 4528483
398581050 688707808 1586158
155550153 314849389 1768143
142205811 663703038 2385866
837399003 310356382 4328804
588116825 297631811 1915306
946713063 791195552 1584990
431760150 548337139 4410641
855430106 382451716 2215469
841276548 988266739 3136263
754912459 367612066 3998140
917811744 961983302 4465173
254223823 955444916 3584239
244532237 789311208 1326676
275228578 336841893 3411232
246406459 113211260 1798624
307193436 863714087 1922592
101037178 891329904 1829222
816977459 784423488 2448066
673852478 525894224 4696445
817507722 938697884 2006181
576470056 709715973 2092061
598968999 798465366 3532721
790808434 331182296 4554193
775921228 558267722 1290604
848768076 567500264 2513885
111876478 396332583 2867069
115045964 278222195 4862520
118758462 443278868 1134549
113160603 163268792 2080628
635669580 742227886 1984096
368781304 431141526 1353728
663267984 822914862 2228038
972192509 833785108 2827579
663583802 474044692 1987900
402016949 234896160 3814654
383619484 855982144 1887385
338991121 287057328 3018310
626900680 155217483 2185535
562392483 405670273 3069783
910875461 972307808 1514000
487398438 731131878 4157074
307558870 598280231 1278451
945144717 185895977 2745911
460484087 909627527 4798871
390181873 704203079 3098171
699907427 417691209 1252478
659689349 520959728 1388272
536536478 124715405 1608011
352086970 726377829 1937019
717326396 454478773 3220597
773174532 837178537 1446955
222957028 878562711 1196566
606651048 676755000 2051840
293517274 359292868 2017864
184561980 601581875 4782488
787747418 225546341 3323665
531108407 340417822 1886295
762319774 609103490 1692150
467675196 264960732 3239575
140997426 376537676 1525774
203687571 646923800 2832251
726669117 257835786 3558088
233436846 139762643 2124939
329381987 157749345 3855510
635287101 764774320 4630578
358745601 747297750 2197465
118197678 412288728 1501402
207076933 945814395 3243633
617800665 246151176 1013969
203582216 532682471 4476208
922919852 132454934 2539222
785222907 253917829 2619808
703261247 621683959 4431821
186657773 178776464 2371612
944504534 587880310 1053637
919140060 772645030 1527108
222884396 458765873 2444656
954021339 117947021 1604274
701388736 715603826 3726480
138945515 478186574 2888125
511714296 392911022 1024082
976481090 270323247 4321186
658089779 327924621 2614214
584260063 596557217 1024612
283857079 317535768 4383327
129942480 116091805 1574286
597471308 190578225 2951768
867076686 929777317 2898568
295733550 168659919 3024758
620195570 618003593 3229984
296222391 580447880 2577793
682823115 206005329 1398351
970642126 690958044 3037496
320355548 353282090 2726813
388754813 513011596 1978612
499772663 539856680 1580826
295626682 468918791 2856338
655877777 626653186 1233380
804554691 174481804 1028418
228070950 698858390 2064694
350053721 858996345 2310362
620125832 658184494 1081680
603209483 886465019 4193657
648350687 493513511 1888903
741579970 135367806 3067204
990110304 553719475 1902667
954746785 916693894 4520930
913736556 426466681 2962124
991786928 166257073 1345164
547236340 722105744 3751055
874046187 809997301 2912035
321969294 895270528 2517891
996294953 871549462 3054565
711248738 632708452 4489487
886422333 371678063 4649333
753050405 991898950 3188402
511079935 751576119 4466526
265640811 815064598 1058964
941961868 322753850 1128432
771182777 760977857 1957781
864399548 796429298 1535300
753113440 629541281 2031407
357337538 740135319 1975500
623103681 701367182 1590174
577746220 232403594 1452770
174905870 213034304 1446099
367914261 239134207 4699456
829352224 589323932 1832644
775962797 583502483 2088928
524951321 292778479 4160053
691696336 447790016 4181097
702366878 641528145 4085515
140470606 384762580 2753319
860528150 516992478 3927741
591482930 181187232 4386830
230413712 996505839 1701749
137244488 389920798 1726785
774337019 222499779 1450503
793218999 128532644 1973540
298324022 193583227 3945883
975254342 542777622 1738999
251934252 881926584 3737627
230284953 439992649 3142595
974517628 720212553 1365873
222880017 844476968 2244033
845030484 807813237 1128851
480057706 432567150 1429754
191857758 866375633 4025091
953532348 119779469 4559464
389614829 202275123 1128310
795146751 670637382 2940631
486318744 934206111 4467780
726035745 347016940 3099912
105000975 463380124 3358149
385069371 861331384 1005446
586615174 906487145 2344932
164473718 324826355 1041733
404840539 839715094 1814617
658850752 794557486 1858216
107694652 161662571 1019145
448437522 481141950 2238212
100890867 804931187 1684898
195088995 737288284 2513751
388799876 497266732 2918304
366656059 437374151 1183583
536620768 787302096 1567876
861829635 146462890 1312870
414861177 900059758 2932707
138813178 850317548 2955014
569234948 305494449 1897816
834347687 503378888 1286006
580252916 694616330 2925959
903887383 828043800 3740876
280076889 143449977 2920527
524675833 356621502 1838992
586566267 577097476 1577224
827351228 976543312 1026394
851530217 981266255 4829381
852989464 561262110 2161924
856545931 654994599 2464875
816556111 780555427 3474330
514345898 100162063 1124800
795727088 251156040 1216864
575670811 229572350 2607070
262474998 343703722 3311506
910332539 674259152 2425790
743809091 301303591 3052379
655137314 109964582 3226830
187537048 430005232 1075474
361301248 461582193 1453903
290450474 821192583 1318092
817818930 776108784 1291373
719167940 685793891 1326911
295536268 283717727 2361228
199437659 651580045 1697012
204187008 218197111 2258188
807945420 435603147 1690682
727023304 421764773 1468154
824000832 506519076 2138839
924313989 400084120 2800187
241289096 680769391 2331310
121419713 511173556 1810225
772655251 712670720 1777379
890073721 490083443 1302214
838969144 613712739 2312698
923927759 816397056 2600855
128114857 943128485 1037053
105948757 880640435 1035835
711776761 970567711 1316002
779820239 941144886 1555095
325204422 263415460 1196894
389289222 978485123 1493929
470390172 756497409 3581579
209080377 394351025 1866098
222375242 467088916 1504515
630186708 199193734 1476182
993858552 649912016 1070099
644792235 410126113 1723659
104294199 544522650 3265032
526883843 854106332 1177548
808158129 501380889 1961130
718366180 973847634 1873095
627201554 445083210 2114721
533875068 244393677 1130880
933914059 210671630 1380565
419661108 640139639 1020855
361423534 351589464 1174815
262556990 966540534 3759401
979840507 248009625 1277623
224089976 667248313 1453701
100809329 653427018 1213020
220654576 403090689 1448715
584394810 101522166 1981656
365224030 207662984 1181803
799184553 842265477 1258282
146798366 423318746 2746504
880755604 802355868 1615977
322525431 126610517 1222978
868834085 876383810 1013831
923221154 661843676 1130436
362378577 495456307 1081324
155891214 846825017 3191720
442464381 414783108 1329391
910790244 214604130 2567317
929961799 523087303 1797065
671242700 388675331 1028400
473611891 825574181 1882859

soil-to-fertilizer map:
338868262 316516183 616055
911385157 286464424 922843
542003953 218170911 805876
143806532 948507628 752474
533629761 348413461 725312
493700254 730167648 998877
565580906 527462348 884638
882184568 613666350 529249
993555847 900621387 500285
823636592 446750143 839694
248432659 907923662 818999
